"glytoucan_ac","sequence_byonic"
"G01028FJ","Hex(8)HexNAc(2) % 1720.59189791"
"G01028VL","Hex(4)HexNAc(3)dHex(1)aldi(1) % 1423.53353545"
"G01031EZ","Hex(5)HexNAc(4)dHex(1)NeuAc(1)aldi(1) % 2079.76114819"
"G01034MJ","Hex(5)HexNAc(4)NeuAc(3) % 2513.87842253"
"G01040ZV","Hex(1)HexNAc(1)NeuAc(1) % 674.23817744"
"G01044ZK","Hex(3)HexNAc(3)dHex(1)NeuAc(1) % 1550.56047852"
"G01047YJ","Hex(3)HexNAc(3)aldi(1) % 1115.42280308"
"G01056RH","Hex(2)HexNAc(3)S(1) % 1031.31114411"
"G01069AK","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G01069CZ","Hex(7)HexNAc(7)aldi(1) % 2575.95158751"
"G01077MO","Hex(6)HexNAc(5)dHex(1)NeuAc(2) % 2733.97311086"
"G01079BO","Hex(5)HexNAc(4)aldi(1) % 1642.60782269"
