"glytoucan_ac","sequence_byonic"
"G77685SR","Hex(3)HexNAc(3)dHex(1)NeuAc(1)aldi(1) % 1552.57612859"
"G77686RC","Hex(3)HexNAc(5)dHex(1) % 1665.6238071"
"G77687SU","Hex(7)HexNAc(6)NeuAc(4)aldi(1) % 3537.25388144"
"G77688PF","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G77690ZC","Hex(2)HexNAc(3)dHex(1) % 1097.41223838"
"G77696IB","Hex(1)HexNAc(2)dHex(1)S(1) % 812.23685687"
"G77696JC","Hex(5)HexNAc(5)dHex(2)NeuAc(2) % 2717.97819624"
"G77697FA","Hex(7)HexNAc(6)aldi(1) % 2372.8722149"
"G77700XQ","Hex(4) % 666.2218587"
"G77703ZT","Hex(4)HexNAc(5)dHex(1)NeuAc(1) % 2118.77204723"
"G77704WL","Hex(2)NeuAc(2) % 924.30704497"
"G77710TJ","Hex(9)HexNAc(2)aldi(1) % 1884.66037148"
"G77711DZ","Hex(3)HexNAc(3)dHex(2)aldi(1) % 1407.53862082"
"G77712UR","Hex(3)HexNAc(2)dHex(1)aldi(1) % 1058.40133935"
"G77714BM","Hex(3)HexNAc(3)dHex(2) % 1405.52297075"
"G77725ZE","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G77735OH","Hex(7)HexNAc(6)NeuGc(3) % 3292.12755862"
"G77740PR","Hex(2)HexNAc(2)dHex(1)NeuAc(1) % 1185.42828241"
"G77743UL","Hex(9+)HexNAc(8+)dHex(1)NeuAc(4)aldi(1) % "
"G77744CZ","Hex(4)HexNAc(1) % 869.301231305"
"G77746UP","Hex(6)HexNAc(5)NeuAc(1)S(1) % 2376.77659995"
"G77748PL","Hex(6)HexNAc(5)dHex(1)NeuAc(3) % 3025.0685275"
"G77750BW","Hex(3)HexNAc(3) % 1113.40715301"
"G77751FF","Hex(5)HexNAc(6)dHex(1)NeuAc(1)NeuGc(1) % 2790.9945746"
"G77755RE","Hex(6)HexNAc(4)NeuAc(1) % 2093.74041275"
"G77757UE","Hex(4)HexNAc(4)NeuAc(1) % 1769.63476576"
"G77761PN","Hex(1)HexNAc(1)dHex(1) % 529.200669675"
"G77767GG","Hex(1)HexNAc(2) % 586.22213341"
"G77780YE","Hex(7)HexNAc(3)dHex(1) % 1907.67635589"
"G77786DK","Hex(6)HexNAc(4)NeuAc(2) % 2384.83582939"
"G77788QV","Hex(2)HexNAc(2) % 748.27495691"
"G77791EJ","Hex(4)HexNAc(3)dHex(1)NeuAc(1)aldi(1) % 1714.62895209"
"G77792ZA","Hex(2)HexNAc(2)dHex(2)S(1) % 1120.34758924"
"G77805RB","Hex(5)HexNAc(4)dHex(2)NeuAc(1) % 2223.80340699"
"G77809CS","Hex(3)HexNAc(6)dHex(1)S(2) % 2028.61680888"
"G77812IV","Hex(2)HexNAc(1)dHex(1)aldi(1) % 693.269143245"
"G77812KJ","Hex(7)HexNAc(6)NeuAc(4) % 3535.23823137"
"G77818QM","Hex(1)HexNAc(1)HexA(1)S(1) % 639.131663455"
"G77824XV","Hex(1)NeuAc(1) % 471.158804835"
"G77828MY","Hex(5)HexNAc(3)NeuAc(1) % 1728.60821665"
"G77828QM","Hex(6)HexNAc(4)dHex(1) % 1948.70290499"
"G77831QL","Hex(4)HexNAc(4)NeuAc(2) % 2060.73018239"
"G77833MR","Hex(4)HexNAc(2)dHex(2)aldi(1) % 1366.51207172"
"G77839VB","Hex(2)HexNAc(4)NeuAc(1)aldi(1) % 1447.54476883"
"G77842WM","Hex(8)HexNAc(5)dHex(1)NeuAc(1) % 2766.98334123"
"G77843RR","Hex(1)HexNAc(3)dHex(1)NeuAc(1) % 1226.45483152"
"G77845QS","Hex(5)HexNAc(3) % 1437.51280002"
"G77848BL","HexNAc(4) % 830.32805512"
"G77851XO","HexNAc(2)S(1) % 504.1261245"
"G77852EK","Hex(5)HexNAc(2) % 1234.43342741"
"G77853VT","Hex(5)HexNAc(6)dHex(1) % 2192.8088267"
"G77854OM","HexNAc(1)NeuAc(1) % 512.18535394"
"G77858IX","Hex(4)HexNAc(4)dHex(1) % 1624.59725799"
"G77861QN","Hex(6)HexNAc(6)dHex(3) % 2646.97746794"
"G77864CN","Hex(12)HexNAc(2) % 2368.80319191"
"G77865AH","Hex(4) % 666.2218587"
"G77865DP","Hex(6)HexNAc(2)NeuAc(1)aldi(1) % 1689.59731762"
"G77880KG","Hex(8)HexNAc(7)dHex(3)NeuAc(2) % 3756.35332082"
"G77883VQ","Hex(1)HexNAc(2) % 586.22213341"
"G77889NO","Hex(4)HexNAc(5)S(1) % 1761.57553632"
"G77893MJ","Hex(4)HexNAc(1)S(1) % 949.258045895"
"G77894KZ","Hex(2)HexNAc(4)dHex(3) % 1592.60742873"
"G77898EH","Hex(3)HexNAc(2) % 910.32778041"
"G77900OU","HexNAc(1)NeuAc(1) % 512.18535394"
"G77901GR","Hex(3) % 504.1690352"
"G77903VE","Hex(4)HexNAc(2)NeuAc(2)X(1) % 1696.58200188"
"G77915NM","Hex(6)HexNAc(5)dHex(1)S(2) % 2311.69590678"
"G77915WT","HexNAc(2)NeuAc(1) % 715.264726545"
"G77922WZ","Hex(5)HexNAc(4) % 1640.59217262"
"G77923PO","Hex(5)HexNAc(3) % 1437.51280002"
"G77923TL","Hex(9)HexNAc(8) % 3101.12095704"
"G77936HD","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G77937PE","Hex(2)HexNAc(4)dHex(2) % 1446.54951986"
"G77938WM","Hex(1)HexNAc(3) % 789.301506015"
"G77939BF","Hex(6)HexNAc(5)aldi(1) % 2007.7400188"
"G77939VD","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G77947DZ","Hex(7)HexNAc(11)dHex(5) % 4116.54297221"
"G77950SN","Hex(6)HexNAc(6)dHex(1)NeuAc(3) % 3228.14790011"
"G77955GX","Hex(4)HexNAc(1) % 869.301231305"
"G77956CJ","Hex(1)HexNAc(2) % 586.22213341"
"G77959MZ","Hex(6)HexNAc(5)dHex(1)NeuGc(2) % 2765.96294012"
"G77960OV","Hex(2)HexNAc(4)dHex(3)aldi(1) % 1594.6230788"
"G77964WB","Hex(4)HexNAc(2) % 1072.38060391"
"G77969OS","Hex(10)HexNAc(2) % 2044.69754491"
"G77969SU","Hex(2)HexNAc(1)NeuAc(1) % 836.29100094"
"G77971RI","Hex(3) % 504.1690352"
"G77974XY","Hex(3)HexNAc(7) % 1925.72464343"
"G77976VJ","Hex(3)HexNAc(1)NeuAc(2) % 1289.43924107"
"G77977RG","Hex(6)HexNAc(5)NeuAc(1)aldi(1) % 2298.83543543"
"G77980YT","Hex(8)HexNAc(1) % 1517.51252531"
"G77989NY","Hex(4)HexNAc(2)dHex(2)NeuAc(1) % 1655.59183828"
"G77993GH","Hex(6) % 990.3275057"
"G77993ZH","Hex(1)HexNAc(2)S(1)aldi(1) % 668.19459807"
"G77997TA","Hex(7)HexNAc(6)dHex(1)NeuAc(1) % 2808.00989034"
"G77998LJ","Hex(3)HexNAc(1)NeuAc(3) % 1580.53465771"
"G78000JX","Hex(4)HexNAc(5) % 1681.61872173"
"G78002AG","Hex(4)HexNAc(2)dHex(2) % 1364.49642165"
"G78003VE","Hex(5)HexNAc(4)dHex(1)NeuAc(1)NeuGc(1) % 2384.83582939"
"G78011BW","Hex(6)HexNAc(6)NeuAc(1)NeuGc(1) % 2806.98948923"
"G78011JO","Hex(7)HexNAc(6)dHex(1)NeuAc(4) % 3681.29614024"
"G78011OA","Hex(3)HexNAc(3)dHex(1)NeuAc(1) % 1550.56047852"
"G78012QK","Hex(4)HexNAc(5)dHex(2)aldi(1) % 1975.75018954"
"G78015OA","Hex(3)HexNAc(6)dHex(1) % 1868.7031797"
"G78019KD","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G78027IR","Hex(1)HexNAc(2)aldi(1) % 588.23778348"
"G78030KJ","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G78032JZ","Hex(2)HexNAc(2) % 748.27495691"
"G78032US","Hex(2)HexNAc(3)dHex(1)aldi(1) % 1099.42788845"
"G78034SR","Hex(2)HexNAc(3)dHex(1)aldi(1) % 1099.42788845"
"G78045JW","Hex(5)HexNAc(4)dHex(2) % 1932.70799036"
"G78056MI","Hex(1)HexNAc(2)NeuAc(1) % 877.317550045"
"G78059CC","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G78061XV","HexNAc(4)HexA(4) % 1534.45640736"
"G78068ZV","Hex(3)HexNAc(4) % 1316.48652562"
"G78071JH","Hex(6)HexNAc(2)NeuAc(1) % 1687.58166754"
"G78071LY","Hex(5)HexNAc(5)NeuAc(2) % 2425.8623785"
"G78072VO","Hex(3)HexNAc(2) % 910.32778041"
"G78073TA","Hex(5)HexNAc(5)dHex(1)NeuAc(1) % 2280.82487073"
"G78073TS","Hex(3)HexNAc(8)dHex(1) % 2274.86192491"
"G78074HX","Hex(3) % 504.1690352"
"G78081AJ","Hex(6)HexNAc(6)dHex(1) % 2354.8616502"
"G78082BD","Hex(3) % 504.1690352"
"G78085XU","Hex(10)HexNAc(10)dHex(1) % 3815.39043462"
"G78097CL","Hex(6)HexNAc(6)dHex(1) % 2354.8616502"
"G78098GH","Hex(7)HexNAc(6)NeuAc(4) % 3535.23823137"
"G78102BN","Hex(5)HexNAc(1) % 1031.35405481"
"G78103ZD","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G78106KK","Hex(2)HexNAc(3) % 951.354329515"
"G78106RQ","Hex(3)HexNAc(3) % 1113.40715301"
"G78108ZM","Hex(1)HexNAc(2)dHex(1) % 732.28004228"
"G78116WJ","Hex(5)HexNAc(4)NeuAc(2) % 2222.78300589"
"G78121IJ","Hex(2)HexNAc(1) % 545.195584305"
"G78123CP","Hex(4)HexNAc(1) % 869.301231305"
"G78126EU","Hex(5)HexNAc(4)dHex(3)aldi(1) % 2080.7815493"
"G78130XL","Hex(6)HexNAc(6)dHex(1) % 2354.8616502"
"G78136QC","Hex(6)HexNAc(4)dHex(1)NeuGc(1) % 2255.79323626"
"G78138CS","Hex(2)HexNAc(2)S(1)aldi(1) % 830.24742157"
"G78146WJ","Hex(6)HexNAc(6)dHex(1)NeuAc(1) % 2645.95706684"
"G78151IM","Hex(6) % 990.3275057"
"G78152IS","Hex(8) % 1314.4331527"
"G78155FK","Hex(5)HexNAc(5) % 1843.67154523"
"G78156NN","Hex(4)HexNAc(4)dHex(1)aldi(1) % 1626.61290806"
"G78157SE","Hex(3)HexNAc(5) % 1519.56589823"
"G78160OZ","HexNAc(1)HexA(1)S(1) % 477.078839955"
"G78161IO","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G78171UO","Hex(1)HexNAc(2)NeuAc(1) % 877.317550045"
"G78171YL","Hex(2)HexNAc(3) % 951.354329515"
"G78173WX","Hex(4)HexNAc(4)dHex(2)NeuAc(1) % 2061.7505835"
"G78174JE","Hex(4)HexNAc(4) % 1478.53934912"
"G78180GX","Hex(5)HexNAc(2)NeuAc(2) % 1816.62426068"
"G78180WS","Hex(7)HexNAc(6)NeuAc(1)NeuGc(1) % 2969.04231273"
"G78185ZA","Hex(2)dHex(1) % 488.17412057"
"G78194GB","Hex(8)HexNAc(7)dHex(1)NeuAc(3)NeuGc(1) % 4062.42325098"
"G78205EV","Hex(4)HexNAc(1)NeuGc(1) % 1176.39156257"
"G78205VT","Hex(7)HexNAc(6)dHex(3) % 2809.03029144"
"G78208WN","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G78211AM","Hex(5)HexNAc(5) % 1843.67154523"
"G78214BJ","Hex(4)HexNAc(3)dHex(1) % 1421.51788538"
"G78221KA","Hex(6)HexNAc(5)NeuAc(3)aldi(1) % 2881.0262687"
"G78224CS","Hex(4)HexNAc(4)dHex(1)NeuGc(1) % 1931.68758926"
"G78225YM","Hex(5)HexNAc(1) % 1031.35405481"
"G78230VU","Hex(5)HexNAc(1) % 1031.35405481"
"G78231ZN","Hex(6)HexNAc(2)dHex(1) % 1542.54415978"
"G78233FA","Hex(7)HexNAc(5)dHex(1)NeuGc(2) % 2928.01576363"
"G78234TK","Hex(7)HexNAc(6)dHex(1)NeuAc(3)S(1) % 3470.15753819"
"G78239VB","Hex(5)HexNAc(4)dHex(2)NeuAc(1) % 2223.80340699"
"G78241UJ","Hex(2)HexNAc(2)dHex(1)NeuAc(1)S(1) % 1265.38509701"
"G78242EN","Hex(3) % 504.1690352"
"G78244QA","Hex(1)HexNAc(2)dHex(2) % 878.33795115"
"G78245IX","Hex(8)HexNAc(6)dHex(1) % 2678.9672972"
"G78248QX","Hex(3)HexNAc(4)aldi(1) % 1318.50217569"
"G78249UI","Hex(1)HexNAc(1) % 383.142760805"
"G78249ZM","Hex(4)HexNAc(1)dHex(1) % 1015.35914017"
"G78251OV","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G78254ZM","Hex(4)HexNAc(2)dHex(3) % 1510.55433052"
"G78255XL","Hex(4)HexNAc(5)NeuAc(1) % 1972.71413836"
"G78257QQ","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G78260AJ","Hex(2) % 342.1162117"
"G78261DB","Hex(5)HexNAc(5)dHex(1) % 1989.7294541"
"G78262KC","Hex(4)HexNAc(2)dHex(2) % 1364.49642165"
"G78263DG","Hex(5)HexNAc(3)dHex(2)NeuAc(1) % 2020.72403439"
"G78266GU","Hex(9)HexNAc(7)NeuAc(4) % 4062.42325098"
"G78272DJ","Hex(3)HexNAc(2)dHex(1) % 1056.38568928"
"G78276SQ","Hex(6)HexNAc(4)dHex(1)NeuAc(1) % 2239.79832162"
"G78279JR","Hex(3)HexNAc(6)dHex(1) % 1868.7031797"
"G78280YO","Hex(8)HexNAc(2) % 1720.59189791"
"G78281SV","NeuAc(3+) % "
"G78290JM","Hex(7)HexNAc(2)dHex(1) % 1704.59698328"
"G78297FC","Hex(2) % 342.1162117"
"G78304UB","Hex(5)HexNAc(4)dHex(1)NeuAc(2) % 2368.84091476"
"G78306GH","Hex(1)HexNAc(1)NeuAc(1) % 674.23817744"
"G78306NB","Hex(6)HexNAc(5)NeuAc(4)aldi(1) % 3172.12168533"
"G78308MA","Hex(7)HexNAc(5)dHex(1) % 2313.8351011"
"G78312KD","Hex(2)HexNAc(1)dHex(2) % 837.311402045"
"G78314LL","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G78315BS","Hex(1)HexNAc(2)dHex(1)NeuAc(2) % 1314.47087555"
"G78315FS","Hex(2)HexNAc(2)dHex(1)NeuAc(1) % 1185.42828241"
"G78317QO","Hex(2) % 342.1162117"
"G78318UY","Hex(7)HexNAc(7)dHex(1)NeuAc(2) % 3302.18467957"
"G78325SJ","Hex(5)HexNAc(3) % 1437.51280002"
"G78330KT","Hex(15)HexNAc(14)dHex(6)NeuAc(1) % 6459.35700353"
"G78333MH","Hex(3)HexNAc(5)NeuAc(4) % 2683.94756477"
"G78336NR","Hex(4)HexNAc(1)NeuAc(1) % 1160.39664794"
"G78341DP","Hex(5)HexNAc(3) % 1437.51280002"
"G78341OF","Hex(7)HexNAc(6)dHex(2)NeuAc(4) % 3827.35404911"
"G78342SP","Hex(3)HexNAc(4)dHex(1) % 1462.54443449"
"G78343KH","Hex(3)HexNAc(3) % 1113.40715301"
"G78344OG","Hex(4)aldi(1) % 668.23750877"
"G78347PZ","Hex(1)HexNAc(1)NeuAc(1) % 674.23817744"
"G78353AX","Hex(7)HexNAc(6)dHex(4) % 2955.08820031"
"G78355JG","Hex(3)HexNAc(2)NeuAc(2) % 1492.51861368"
"G78363XM","Hex(6)HexNAc(4)dHex(3)NeuAc(1)aldi(1) % 2533.92978944"
"G78367BV","Hex(3) % 504.1690352"
"G78367WA","Hex(5)HexNAc(3)NeuAc(1) % 1728.60821665"
"G78368CZ","Hex(3)HexNAc(4) % 1316.48652562"
"G78369LH","Hex(1)HexNAc(2) % 586.22213341"
"G78370NE","Hex(7)HexNAc(6)dHex(1) % 2516.9144737"
"G78371ER","Hex(7)HexNAc(6)dHex(1)NeuAc(3) % 3390.2007236"
"G78374AB","Hex(8)HexNAc(7)dHex(1) % 2882.0466698"
"G78374AW","Hex(5)HexNAc(3)dHex(1)aldi(1) % 1585.58635895"
"G78378CA","HexNAc(1)HexA(1)S(2) % 557.035654545"
"G78383AV","Hex(5)HexNAc(3) % 1437.51280002"
"G78385WZ","Hex(6)HexNAc(2) % 1396.48625091"
"G78387VJ","Hex(3)HexNAc(3) % 1113.40715301"
"G78388DR","Hex(3)HexN(1) % 665.237843105"
"G78391CU","Hex(6)HexNAc(5)NeuAc(4) % 3170.10603527"
"G78399ZX","Hex(7)HexNAc(6)NeuGc(3) % 3292.12755862"
"G78407RQ","Hex(5)HexNAc(6)dHex(3) % 2484.92464444"
"G78413IP","Hex(5) % 828.2746822"
"G78417ZB","Hex(12)HexNAc(2) % 2368.80319191"
"G78418FI","Hex(4)HexNAc(1) % 869.301231305"
"G78434AN","Hex(7)HexNAc(6)dHex(1) % 2516.9144737"
"G78434HP","Hex(9)HexNAc(2) % 1882.64472141"
"G78436BB","Hex(1)HexNAc(1) % 383.142760805"
"G78437FV","Hex(4)HexNAc(2)NeuGc(1) % 1379.47093518"
"G78444UW","Hex(4)HexNAc(6)dHex(2)NeuAc(1) % 2467.90932871"
"G78445JO","Hex(11)HexNAc(2) % 2206.75036841"
"G78447LN","Hex(6) % 990.3275057"
"G78447QN","Hex(4)HexNAc(7)dHex(1) % 2233.83537581"
"G78454JO","Hex(4)HexNAc(5)dHex(1) % 1827.6766306"
"G78475CP","Hex(7)HexNAc(6)NeuAc(1)NeuGc(1) % 2969.04231273"
"G78475DU","Hex(2)HexNAc(2)dHex(1)NeuAc(1)aldi(1) % 1187.44393248"
"G78480MT","Hex(3)HexNAc(5)aldi(1) % 1521.5815483"
"G78481KH","Hex(7) % 1152.3803292"
"G78481LC","Hex(7)HexNAc(6)dHex(1)NeuAc(4) % 3681.29614024"
"G78486JN","Hex(6)HexNAc(5)dHex(1)NeuAc(2)NeuGc(1) % 3041.06344213"
"G78497WT","Hex(4)HexNAc(5)dHex(2) % 1973.73453947"
"G78498DJ","Hex(1)HexNAc(1)S(2) % 543.056389985"
"G78502FJ","Hex(6)HexNAc(3)NeuAc(1) % 1890.66104015"
"G78502KD","Hex(3)HexNAc(9)dHex(1) % 2477.94129751"
"G78503JC","Hex(6)HexNAc(6) % 2208.80374133"
"G78507VB","Hex(9)HexNAc(8)dHex(1)aldi(1) % 3249.19451598"
"G78508BQ","Hex(2) % 342.1162117"
"G78508PE","Hex(1)HexNAc(2)dHex(1) % 732.28004228"
"G78509IY","Hex(3)HexNAc(7) % 1925.72464343"
"G78510RU","Hex(5)HexNAc(4)dHex(1)NeuGc(2) % 2400.83074402"
"G78513KA","Hex(5)HexNAc(6)dHex(1)aldi(1) % 2194.82447677"
"G78513VM","Hex(4)HexNAc(3)dHex(1)NeuAc(1) % 1712.61330202"
"G78513XO","HexNAc(3) % 627.248682515"
"G78519JI","Hex(5)HexNAc(5)dHex(3)NeuAc(1) % 2572.94068847"
"G78519ZX","Hex(6)HexNAc(5)dHex(1)NeuAc(3)aldi(1) % 3027.08417757"
"G78523BG","Hex(4)dHex(2) % 958.33767644"
"G78525CL","Hex(3)HexNAc(4)dHex(1) % 1462.54443449"
"G78535NS","Hex(3)HexNAc(2) % 910.32778041"
"G78555BT","Hex(3)HexNAc(6)dHex(1) % 1868.7031797"
"G78559CH","Hex(2)HexNAc(1)NeuAc(1) % 836.29100094"
"G78573SR","Hex(2)HexNAc(2)dHex(2) % 1040.39077465"
"G78577JJ","Hex(6)HexNAc(5)NeuAc(1)NeuGc(2) % 2911.00044789"
"G78578GA","HexNAc(1)HexA(1) % 397.122025365"
"G78578OA","HexN(1) % 179.079372605"
"G78583CA","Hex(6)HexNAc(5)dHex(3) % 2443.89809534"
"G78583GC","Hex(3) % 504.1690352"
"G78585QK","Hex(3)HexNAc(3)NeuAc(1) % 1404.50256965"
"G78586GS","HexNAc(2)HexA(2) % 776.23348603"
"G78586QI","Hex(3)HexNAc(6)dHex(1)S(2) % 2028.61680888"
"G78587RA","Hex(1)HexNAc(1)aldi(1) % 385.158410875"
"G78597QW","Hex(8)HexNAc(6)dHex(1) % 2678.9672972"
"G78598WI","Hex(3)HexNAc(3) % 1113.40715301"
"G78600GX","Hex(2) % 342.1162117"
"G78602KL","Hex(10)HexNAc(2) % 2044.69754491"
"G78603QZ","Hex(5)HexNAc(3) % 1437.51280002"
"G78607HP","Hex(3)HexNAc(4) % 1316.48652562"
"G78608GK","Hex(6)HexNAc(5)dHex(1)NeuAc(2) % 2733.97311086"
"G78615VF","Hex(7+)HexNAc(6+)dHex(5+)NeuAc(4)aldi(1) % "
"G78616NO","Hex(6)HexNAc(3)NeuAc(1) % 1890.66104015"
"G78617GO","Hex(2)HexNAc(2)dHex(1)NeuAc(1) % 1185.42828241"
"G78620TU","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G78625LN","Hex(3)HexNAc(8) % 2128.80401604"
"G78626GM","Hex(5)HexNAc(5)dHex(2) % 2135.78736296"
"G78627AJ","Hex(3)HexNAc(6)dHex(1)NeuAc(2) % 2450.89401297"
"G78641QJ","Hex(2)HexNAc(1)NeuAc(2) % 1127.38641757"
"G78641UQ","Hex(3)HexNAc(3)dHex(2)aldi(1) % 1407.53862082"
"G78644BR","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G78644PP","Hex(7)HexNAc(5) % 2167.77719222"
"G78644SZ","Hex(5)HexNAc(4)NeuAc(2) % 2222.78300589"
"G78648QN","Hex(7)HexNAc(6)NeuAc(4) % 3535.23823137"
"G78649WQ","Hex(5)HexNAc(6)dHex(1)NeuAc(3) % 3066.09507661"
"G78651SL","Hex(6)HexNAc(3)dHex(2) % 1891.68144125"
"G78657XR","Hex(3)HexNAc(3)dHex(1)NeuAc(1)aldi(1) % 1552.57612859"
"G78661LW","Hex(5)HexNAc(6) % 2046.75091783"
"G78681QL","Hex(3)HexNAc(5)dHex(1) % 1665.6238071"
"G78693BX","Hex(2)HexNAc(1)dHex(1) % 691.253493175"
"G78694IK","Hex(2) % 342.1162117"
"G78695LF","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G78698EP","Hex(1)HexNAc(2)dHex(1) % 732.28004228"
"G78701GW","Hex(5)HexNAc(5)NeuAc(1)NeuGc(1) % 2441.85729313"
"G78706CK","Hex(1)HexNAc(1)dHex(1)S(1) % 609.157484265"
"G78713VS","Hex(3)HexNAc(3)dHex(1)aldi(1) % 1261.48071195"
"G78716XB","Hex(2)HexNAc(1) % 545.195584305"
"G78723OT","Hex(5)HexNAc(6)dHex(2)NeuAc(1) % 2629.96215221"
"G78726CB","Hex(7)HexNAc(7)dHex(1)NeuAc(4) % 3884.37551284"
"G78727VW","Hex(4)HexNAc(2) % 1072.38060391"
"G78730ZV","Hex(7)HexNAc(6)dHex(1)NeuAc(4) % 3681.29614024"
"G78734OE","Hex(2)HexNAc(2)dHex(2)S(1) % 1120.34758924"
"G78737QO","Hex(7)HexNAc(4)dHex(1) % 2110.75572849"
"G78739DQ","Hex(6)HexNAc(5)aldi(1) % 2007.7400188"
"G78741RD","Hex(4)HexNAc(4)dHex(1) % 1624.59725799"
"G78742VP","Hex(4)HexNAc(4)dHex(1)S(1) % 1704.55407258"
"G78745RA","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G78749MK","Hex(7)HexNAc(3) % 1761.61844701"
"G78750JU","Hex(3)HexNAc(2) % 910.32778041"
"G78757GA","Hex(6)HexNAc(5)NeuAc(2) % 2587.915202"
"G78759HZ","Hex(2)HexNAc(1)dHex(2) % 837.311402045"
"G78759XX","Hex(1)HexNAc(3)NeuAc(1)S(1)aldi(1) % 1162.36938731"
"G78768GH","Hex(10)HexNAc(2) % 2044.69754491"
"G78768PN","Hex(1)HexNAc(1)NeuAc(2) % 965.333594075"
"G78768UQ","Hex(6)HexNAc(6)dHex(2) % 2500.91955907"
"G78769BZ","Hex(4)HexNAc(2) % 1072.38060391"
"G78772VE","Hex(2)HexNAc(2)dHex(2) % 1040.39077465"
"G78778QM","Hex(2)HexNAc(3)dHex(1)S(1) % 1177.36905297"
"G78779MC","Hex(5)HexNAc(4)dHex(1)NeuAc(2) % 2368.84091476"
"G78787DI","Hex(4)HexNAc(7)dHex(1) % 2233.83537581"
"G78789AJ","Hex(3)HexNAc(2)NeuAc(1)aldi(1) % 1203.43884711"
"G78790NZ","Hex(6)HexNAc(6) % 2208.80374133"
"G78792AJ","Hex(1)HexNAc(4)dHex(1) % 1138.43878749"
"G78797VK","Hex(7)HexNAc(6)dHex(1)NeuAc(1) % 2808.00989034"
"G78800HY","Hex(4) % 666.2218587"
"G78801YM","Hex(8) % 1314.4331527"
"G78803YD","Hex(5)HexNAc(5) % 1843.67154523"
"G78810JD","Hex(4) % 666.2218587"
"G78811TO","Hex(7)HexNAc(6)dHex(5) % 3101.14610918"
"G78813BX","Hex(4)HexNAc(7) % 2087.77746694"
"G78818SP","Hex(3)HexNAc(1)NeuAc(3) % 1580.53465771"
"G78825SN","Hex(3)HexNAc(2) % 910.32778041"
"G78830IZ","Hex(2)HexNAc(3)dHex(1)aldi(1) % 1099.42788845"
"G78841KJ","Hex(3)HexNAc(5)dHex(1) % 1665.6238071"
"G78842DK","Hex(1)HexNAc(2) % 586.22213341"
"G78842KE","Hex(2)HexNAc(4) % 1154.43370212"
"G78848UG","Hex(8)HexNAc(7)dHex(1) % 2882.0466698"
"G78854MO","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G78855IG","Hex(6)HexNAc(4)dHex(1)NeuAc(1) % 2239.79832162"
"G78862RD","Hex(5)HexNAc(1) % 1031.35405481"
"G78863BJ","Hex(7)HexNAc(6)dHex(2)NeuAc(4) % 3827.35404911"
"G78881HO","Hex(2)HexNAc(4)dHex(1)aldi(1) % 1302.50726106"
"G78882XO","Hex(2)HexNAc(1) % 545.195584305"
"G78884WZ","Hex(4)HexNAc(3)NeuGc(1) % 1582.55030778"
"G78885JL","Hex(3) % 504.1690352"
"G78885XB","Hex(6)HexNAc(5)dHex(1)NeuAc(3) % 3025.0685275"
"G78890AO","Hex(5)HexNAc(3)dHex(1) % 1583.57070888"
"G78890OB","Hex(4)HexNAc(5)S(1) % 1761.57553632"
"G78894EE","Hex(7)HexNAc(6)dHex(1)aldi(1) % 2518.93012377"
"G78900SX","Hex(1)HexNAc(3)dHex(1) % 935.359414885"
"G78902VT","Hex(3) % 504.1690352"
"G78908IP","Hex(3)HexNAc(2) % 910.32778041"
"G78909JC","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G78910WQ","Hex(4)HexNAc(4)NeuAc(1) % 1769.63476576"
"G78913DE","Hex(6)HexNAc(5)NeuGc(2) % 2619.90503126"
"G78915OI","Hex(2)HexNAc(3)dHex(1)aldi(1) % 1099.42788845"
"G78918BK","Hex(1)HexNAc(3)dHex(1) % 935.359414885"
"G78923UG","Hex(8)HexNAc(3)P(1) % 2003.63760144"
"G78926JO","Hex(2) % 342.1162117"
"G78928PU","Hex(3)HexNAc(3)dHex(2) % 1405.52297075"
"G78929WE","Hex(5)HexNAc(3)dHex(2)NeuAc(1) % 2020.72403439"
"G78930SC","Hex(2)HexNAc(4) % 1154.43370212"
"G78941GA","Hex(3)HexNAc(1)dHex(1) % 853.306316675"
"G78944YP","Hex(5)HexNAc(6) % 2046.75091783"
"G78945LF","Hex(2)HexNAc(1)NeuAc(2) % 1127.38641757"
"G78945TI","Hex(2) % 342.1162117"
